transaction_id,branch_id,day_of_week,hour_of_day,total_treatment,total_product,discount_value,vat,grand_total,payment_method_id,customer_visits,is_high_value
76,3,6,13,1700.00,460.00,170.00,238.72,2228.72,1,6,1
77,1,7,15,650.00,190.00,65.00,104.00,969.00,1,2,0
78,2,1,11,2500.00,650.00,250.00,348.00,3248.00,1,10,1
79,3,2,14,550.00,160.00,0.00,85.44,799.44,3,2,0
80,1,3,16,1300.00,360.00,130.00,181.44,1711.44,2,5,1
81,2,4,10,400.00,110.00,0.00,61.60,571.60,1,1,0
82,3,5,12,3700.00,940.00,370.00,511.52,4781.52,1,16,1
83,1,6,14,800.00,230.00,80.00,128.48,1178.48,4,3,0
84,2,7,11,1900.00,510.00,190.00,265.92,2484.92,1,7,1
85,3,1,13,550.00,160.00,0.00,85.44,799.44,2,2,0
86,1,2,15,2700.00,710.00,270.00,378.72,3549.72,1,11,1
87,2,3,10,450.00,130.00,0.00,69.60,649.60,3,1,0
88,3,4,12,1400.00,380.00,140.00,196.48,1836.48,1,5,1
89,1,5,16,700.00,210.00,70.00,112.32,1052.32,1,2,0
90,2,6,11,3100.00,800.00,310.00,430.40,4020.40,1,13,1
91,3,7,13,600.00,180.00,0.00,92.64,872.64,2,2,0
92,1,1,15,2000.00,530.00,200.00,278.72,2608.72,1,8,1
93,2,2,10,500.00,150.00,50.00,80.00,730.00,3,1,0
94,3,3,12,1600.00,430.00,160.00,224.96,2094.96,1,6,1
95,1,4,14,750.00,220.00,75.00,118.40,1103.40,4,2,0
96,2,5,16,4500.00,1100.00,450.00,616.00,5766.00,1,20,1
97,3,6,11,650.00,190.00,0.00,101.76,951.76,2,2,0
98,1,7,13,1800.00,480.00,180.00,251.52,2349.52,1,7,1
99,2,1,15,400.00,110.00,0.00,61.60,571.60,1,1,0
100,3,2,10,2400.00,630.00,240.00,333.12,3123.12,1,9,1
101,1,3,12,800.00,230.00,80.00,128.48,1178.48,3,3,0
102,2,4,14,1500.00,400.00,150.00,220.00,1970.00,2,5,1
103,3,5,16,550.00,160.00,0.00,85.44,799.44,1,2,0
104,1,6,11,3200.00,830.00,320.00,443.52,4153.52,1,14,1
105,2,7,13,700.00,210.00,70.00,112.32,1052.32,2,2,0
106,3,1,10,2100.00,560.00,210.00,293.76,2743.76,1,8,1
107,1,2,15,450.00,130.00,0.00,69.60,649.60,3,1,0
108,2,3,12,1700.00,450.00,170.00,235.20,2215.20,1,6,1
109,3,4,14,600.00,180.00,60.00,96.96,916.96,4,2,0
110,1,5,16,2800.00,730.00,280.00,390.72,3640.72,1,11,1
111,2,6,11,500.00,150.00,0.00,78.00,728.00,2,1,0
112,3,7,13,1900.00,500.00,190.00,264.00,2474.00,1,7,1
113,1,1,10,650.00,190.00,65.00,104.00,969.00,1,2,0
114,2,2,12,3600.00,920.00,360.00,497.92,4657.92,1,17,1
115,3,3,14,750.00,220.00,75.00,118.40,1103.40,3,2,0
116,1,4,16,1600.00,430.00,160.00,224.96,2094.96,1,6,1
117,2,5,11,400.00,110.00,0.00,61.60,571.60,2,1,0
118,3,6,13,2500.00,660.00,250.00,348.16,3258.16,1,10,1
119,1,7,10,600.00,180.00,0.00,92.64,872.64,1,2,0
120,2,1,15,1400.00,370.00,140.00,193.92,1823.92,1,5,1
121,3,2,12,850.00,250.00,85.00,135.20,1250.20,3,3,0
122,1,3,14,2200.00,580.00,220.00,306.56,2866.56,1,9,1
123,2,4,16,500.00,150.00,0.00,78.00,728.00,4,1,0
124,3,5,11,1800.00,480.00,180.00,251.52,2349.52,2,7,1
125,1,6,13,700.00,210.00,70.00,112.32,1052.32,1,2,0
126,2,7,10,3900.00,980.00,390.00,537.28,5027.28,1,17,1
127,3,1,12,550.00,160.00,0.00,85.44,799.44,2,2,0
128,1,2,14,1500.00,400.00,150.00,220.00,1970.00,1,6,1
129,2,3,16,450.00,130.00,45.00,70.88,665.88,3,1,0
130,3,4,11,2600.00,680.00,260.00,362.88,3388.88,1,10,1
131,1,5,13,700.00,210.00,0.00,109.76,1019.76,2,2,0
132,2,6,15,1700.00,450.00,170.00,235.20,2215.20,1,6,1
133,3,7,10,550.00,160.00,0.00,85.44,799.44,1,2,0
134,1,1,12,3000.00,780.00,300.00,417.92,3897.92,1,12,1
135,2,2,14,800.00,240.00,80.00,128.32,1188.32,4,3,0
136,3,3,16,1900.00,500.00,190.00,264.00,2474.00,1,7,1
137,1,4,11,450.00,130.00,0.00,69.60,649.60,2,1,0
138,2,5,13,2300.00,610.00,230.00,321.92,3013.92,1,9,1
139,3,6,10,600.00,180.00,0.00,92.64,872.64,3,2,0
140,1,7,15,1400.00,370.00,140.00,193.92,1823.92,1,5,1
141,2,1,12,750.00,220.00,75.00,118.40,1103.40,1,2,0
142,3,2,14,4100.00,1020.00,410.00,564.48,5274.48,1,18,1
143,1,3,16,500.00,150.00,0.00,78.00,728.00,2,1,0
144,2,4,11,2000.00,530.00,200.00,278.72,2608.72,1,8,1
145,3,5,13,650.00,190.00,65.00,104.00,969.00,3,2,0
146,1,6,10,1700.00,450.00,170.00,235.20,2215.20,2,6,1
147,2,7,15,400.00,110.00,0.00,61.60,571.60,1,1,0
148,3,1,12,2800.00,730.00,280.00,390.72,3640.72,1,11,1
149,1,2,14,700.00,210.00,70.00,112.32,1052.32,4,2,0
150,2,3,16,1600.00,420.00,160.00,225.92,2085.92,1,6,1
151,3,4,11,500.00,150.00,0.00,78.00,728.00,2,1,0
152,1,5,13,3500.00,890.00,350.00,484.48,4523.48,1,15,1
153,2,6,10,800.00,240.00,80.00,128.32,1188.32,1,3,0
154,3,7,15,2100.00,560.00,210.00,293.76,2743.76,2,8,1
155,1,1,12,550.00,160.00,0.00,85.44,799.44,3,2,0
156,2,2,14,1300.00,350.00,130.00,182.40,1702.40,1,5,1
157,3,3,16,450.00,130.00,45.00,70.88,665.88,1,1,0
158,1,4,11,2700.00,710.00,270.00,378.72,3549.72,1,11,1
159,2,5,13,700.00,210.00,0.00,109.76,1019.76,2,2,0
160,3,6,10,1800.00,480.00,180.00,251.52,2349.52,1,7,1
161,1,7,15,600.00,180.00,60.00,96.96,916.96,3,2,0
162,2,1,12,2400.00,630.00,240.00,333.12,3123.12,1,9,1
163,3,2,14,500.00,150.00,0.00,78.00,728.00,4,1,0
164,1,3,16,1500.00,400.00,150.00,220.00,1970.00,2,6,1
165,2,4,11,750.00,220.00,75.00,118.40,1103.40,1,2,0
166,3,5,13,3200.00,830.00,320.00,443.52,4153.52,1,14,1
167,1,6,10,550.00,160.00,0.00,85.44,799.44,1,2,0
168,2,7,15,1900.00,500.00,190.00,264.00,2474.00,1,7,1
169,3,1,12,400.00,110.00,0.00,61.60,571.60,2,1,0
170,1,2,14,2600.00,680.00,260.00,362.88,3388.88,1,10,1
171,2,3,16,700.00,210.00,70.00,112.32,1052.32,3,2,0
172,3,4,11,1400.00,370.00,140.00,193.92,1823.92,1,5,1
173,1,5,13,500.00,150.00,0.00,78.00,728.00,2,1,0
174,2,6,10,3700.00,940.00,370.00,511.52,4781.52,1,16,1
175,3,7,15,800.00,240.00,80.00,128.32,1188.32,4,3,0
176,1,1,12,2000.00,530.00,200.00,278.72,2608.72,1,8,1
177,2,2,14,550.00,160.00,0.00,85.44,799.44,1,2,0
178,3,3,16,1700.00,450.00,170.00,235.20,2215.20,2,6,1
179,1,4,11,600.00,180.00,60.00,96.96,916.96,3,2,0
180,2,5,13,2900.00,760.00,290.00,406.56,3776.56,1,12,1
181,3,6,10,450.00,130.00,0.00,69.60,649.60,1,1,0
182,1,7,15,1600.00,420.00,160.00,225.92,2085.92,1,6,1
183,2,1,12,700.00,210.00,70.00,112.32,1052.32,2,2,0
184,3,2,14,2200.00,580.00,220.00,306.56,2866.56,1,9,1
185,1,3,16,500.00,150.00,0.00,78.00,728.00,3,1,0
186,2,4,11,1500.00,400.00,150.00,220.00,1970.00,1,6,1
187,3,5,13,750.00,220.00,75.00,118.40,1103.40,4,2,0
188,1,6,10,4300.00,1070.00,430.00,591.04,5531.04,1,19,1
189,2,7,15,550.00,160.00,0.00,85.44,799.44,2,2,0
190,3,1,12,1800.00,480.00,180.00,251.52,2349.52,1,7,1
191,1,2,14,400.00,110.00,0.00,61.60,571.60,1,1,0
192,2,3,16,2500.00,660.00,250.00,348.16,3258.16,1,10,1
193,3,4,11,700.00,210.00,70.00,112.32,1052.32,3,2,0
194,1,5,13,1300.00,350.00,130.00,182.40,1702.40,2,5,1
195,2,6,10,500.00,150.00,0.00,78.00,728.00,1,1,0
196,3,7,15,3400.00,870.00,340.00,469.12,4399.12,1,15,1
197,1,1,12,800.00,240.00,80.00,128.32,1188.32,4,3,0
198,2,2,14,2100.00,560.00,210.00,293.76,2743.76,1,8,1
199,3,3,16,600.00,180.00,0.00,92.64,872.64,2,2,0
200,1,4,11,1700.00,450.00,170.00,235.20,2215.20,1,6,1
